Route_name,Route_link,Busname,Bustype,Depature_time,Duration,Reaching_time,Star_rating,Price,Seat_availabilty
Tezpur to Guwahati Bus,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Assam State Transport Corporation (ASTC) - 173420,Bharat Benz A/C Seater (2+2),10:35,04h 40m,15:15,4.1,298,6 Seats available
Tezpur to Guwahati Bus,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Assam State Transport Corporation (ASTC) - 157959,Bharat Benz A/C Seater (2+2),14:00,04h 30m,18:30,4.5,298,10 Seats available
Tezpur to Guwahati Bus,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Assam State Transport Corporation (ASTC) - 154930,Volvo AC Seater 2+2,15:45,04h 15m,20:00,4.0,298,14 Seats available
Tezpur to Guwahati Bus,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Assam State Transport Corporation (ASTC) - 161055,Volvo AC Seater 2+2,16:15,04h 15m,20:30,4.5,298,6 Seats available
Tezpur to Guwahati Bus,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Pranjit Travels (Under ASTC),NON A/C Seater (2+1),10:10,04h 50m,15:00,3.1,450,4 Seats available
Tezpur to Guwahati Bus,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Chartered Bus - ASTC,A/C Seater Push Back (2+2),11:30,04h 45m,16:15,4.4,324.47,6 Seats available
Tezpur to Guwahati Bus,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,KIRAN TRAVELS,A/C Seater (2+1),12:00,05h 30m,17:30,3.9,360,3 Seats available
Tezpur to Guwahati Bus,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,13:00,04h 00m,17:00,4.7,389.13,21 Seats available
Tezpur to Guwahati Bus,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,14:30,04h 00m,18:30,4.8,432.06,29 Seats available
Tezpur to Guwahati Bus,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,SHIVAM TRAVELS,Bharat Benz A/C Seater (2+1),15:00,04h 15m,19:15,4.3,0,23 Seats available
Tezpur to Guwahati Bus,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,15:30,03h 45m,19:15,4.6,389.13,8 Seats available
Tezpur to Guwahati Bus,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater Semi Sleeper (2+1),21:30,06h 00m,03:30,3.2,400,No seats available
Tezpur to Guwahati Bus,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Pranjit Travels (Under ASTC),A/C Seater (2+1),11:00,05h 30m,16:30,2.9,450,6 Seats available
Tezpur to Guwahati Bus,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Maya Travels,Tata A/C Seater (2+2),13:00,04h 30m,17:30,1.6,300,39 Seats available
Tezpur to Guwahati Bus,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,PANKAJ TRAVELS,AC Seater (2+2),13:10,04h 40m,17:50,1.1,0,33 Seats available
Tezpur to Guwahati Bus,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Karisma (Aziba),NON A/C Seater (2+1),13:40,00h 30m,14:10,2.6,300,5 Seats available
Tezpur to Guwahati Bus,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Himalayan Travels,NON A/C Seater (2+2),23:40,04h 20m,04:00,2.1,0,No seats available
Tezpur to Guwahati Bus,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,DESTINY TRAVELS,NON A/C Seater (2+1),23:45,04h 00m,03:45,1.1,0,No seats available
Tezpur to Guwahati Bus,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater Semi Sleeper (2+1),22:15,05h 30m,03:45,3.8,550,No seats available
