Route_name,Route_link,Busname,Bustype,Depature_time,Duration,Reaching_time,Star_rating,Price,Seat_availabilty
Patna to Bettiah Bus,https://www.redbus.in/bus-tickets/patna-to-bettiah,Bihar state road transport corporation (BSRTC) - 142944,Non AC Seater (2+2),06:00,05h 00m,11:00,3.8,285,34 Seats available
Patna to Bettiah Bus,https://www.redbus.in/bus-tickets/patna-to-bettiah,Bihar state road transport corporation (BSRTC) - 147264,AC Seater (2+2),06:30,06h 05m,12:35,3.1,331,43 Seats available
Patna to Bettiah Bus,https://www.redbus.in/bus-tickets/patna-to-bettiah,Om Sai Ram (C.T),A/C Seater / Sleeper (2+2),08:10,06h 50m,15:00,3.3,499,46 Seats available
Patna to Bettiah Bus,https://www.redbus.in/bus-tickets/patna-to-bettiah,Om Sai Ram (C.T),A/C Seater / Sleeper (2+2),08:20,07h 40m,16:00,3.3,499,40 Seats available
Patna to Bettiah Bus,https://www.redbus.in/bus-tickets/patna-to-bettiah,Om Sai Ram (C.T),NON A/C Seater (2+2),14:10,06h 50m,21:00,3.3,500,28 Seats available
Patna to Bettiah Bus,https://www.redbus.in/bus-tickets/patna-to-bettiah,Om Sai Ram (C.T),NON A/C Seater (2+2),14:50,07h 00m,21:50,3.3,450,28 Seats available
Patna to Bettiah Bus,https://www.redbus.in/bus-tickets/patna-to-bettiah,Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),20:28,05h 32m,02:00,3.2,0,No seats available
Patna to Bettiah Bus,https://www.redbus.in/bus-tickets/patna-to-bettiah,Jai Hanuman Travels,A/C Seater / Sleeper (2+2),22:20,06h 40m,05:00,3.7,0,No seats available
Patna to Bettiah Bus,https://www.redbus.in/bus-tickets/patna-to-bettiah,Saurabh Travels,A/C Seater Push Back (2+2),07:00,05h 30m,12:30,1.1,0,42 Seats available
Patna to Bettiah Bus,https://www.redbus.in/bus-tickets/patna-to-bettiah,Saurabh Travels,A/C Seater Push Back (2+2),07:12,05h 18m,12:30,1.1,0,42 Seats available
Patna to Bettiah Bus,https://www.redbus.in/bus-tickets/patna-to-bettiah,Saurabh Travels,A/C Seater Push Back (2+2),07:20,05h 10m,12:30,1.1,0,42 Seats available
Patna to Bettiah Bus,https://www.redbus.in/bus-tickets/patna-to-bettiah,Saurabh Travels,A/C Seater Push Back (2+2),07:25,05h 20m,12:45,1.1,0,42 Seats available
Patna to Bettiah Bus,https://www.redbus.in/bus-tickets/patna-to-bettiah,Saurabh Travels,A/C Seater Push Back (2+2),07:32,05h 18m,12:50,1.1,0,42 Seats available
Patna to Bettiah Bus,https://www.redbus.in/bus-tickets/patna-to-bettiah,Saurabh Travels,A/C Seater Push Back (2+2),07:37,05h 23m,13:00,1.1,0,42 Seats available
Patna to Bettiah Bus,https://www.redbus.in/bus-tickets/patna-to-bettiah,Saurabh Travels,A/C Seater Push Back (2+2),08:12,05h 18m,13:30,1.1,0,42 Seats available
