Route_name,Route_link,Busname,Bustype,Depature_time,Duration,Reaching_time,Star_rating,Price,Seat_availabilty
Jammu to Srinagar (J and K) Bus,https://www.redbus.in/bus-tickets/jammu-to-srinagar,Jamna Travels-Jammu,Non AC Seater (2+2),19:30,10h 30m,06:00,2.3,0,4 Seats available
Jammu to Srinagar (J and K) Bus,https://www.redbus.in/bus-tickets/jammu-to-srinagar,New Pal Travels,NON A/C Seater / Sleeper (2+2),21:15,10h 00m,07:15,1.4,0,36 Seats available
Jammu to Srinagar (J and K) Bus,https://www.redbus.in/bus-tickets/jammu-to-srinagar,Harikesh Tour N Travels,NON A/C Seater / Sleeper (2+2),20:30,09h 30m,06:00,1.1,0,44 Seats available
Jammu to Srinagar (J and K) Bus,https://www.redbus.in/bus-tickets/jammu-to-srinagar,North Kashmir Tour and Travels,NON A/C Sleeper (2+2),16:30,10h 00m,02:30,1.0,699,40 Seats available
Jammu to Srinagar (J and K) Bus,https://www.redbus.in/bus-tickets/jammu-to-srinagar,North Kashmir Tour and Travels,NON A/C Sleeper (2+2),17:15,10h 00m,03:15,1.0,699,40 Seats available
Delhi to Srinagar (J and K) Bus,https://www.redbus.in/bus-tickets/delhi-to-srinagar,DIVA BUS,AC Sleeper (2+1),15:00,17h 00m,08:00,3.4,4999,36 Seats available
Delhi to Srinagar (J and K) Bus,https://www.redbus.in/bus-tickets/delhi-to-srinagar,RAO TRAVELS INDIA PVT LTD.,Mercedes Benz A/C (2+2),16:00,19h 30m,11:30,2.3,3000,48 Seats available
Srinagar (J and K) to Jammu Bus,https://www.redbus.in/bus-tickets/srinagar-to-jammu,PRAKASH TOURISM,Volvo Multi-Axle B9R A/c Semi Sleeper (2+2),17:30,06h 05m,23:35,1.1,2200,No seats available
Jammu to Haridwar Bus,https://www.redbus.in/bus-tickets/jammu-to-haridwar,SHRI KRISHNA TRAVELS (JAI SHREE GANESH YATRA CO.),VE A/C Seater / Sleeper (2+1),20:00,12h 55m,08:55,4.3,800,13 Seats available
Jammu to Haridwar Bus,https://www.redbus.in/bus-tickets/jammu-to-haridwar,City Land Travels,A/C Seater/Sleeper (2+1),18:00,12h 20m,06:20,4.8,0,25 Seats available
Jammu to Haridwar Bus,https://www.redbus.in/bus-tickets/jammu-to-haridwar,City Land Travels,A/C Seater/Sleeper (2+1),20:30,12h 30m,09:00,3.5,0,29 Seats available
Jammu to Haridwar Bus,https://www.redbus.in/bus-tickets/jammu-to-haridwar,New Pal Travels,A/C Sleeper (2+2),20:30,12h 55m,09:25,3.5,0,44 Seats available
Jammu to Delhi Bus,https://www.redbus.in/bus-tickets/jammu-to-delhi,Gola Bus Service,A/C Seater/Sleeper (2+1),20:20,11h 30m,07:50,4.8,399,29 Seats available
Jammu to Delhi Bus,https://www.redbus.in/bus-tickets/jammu-to-delhi,Zingbus Plus,Bharat Benz A/C Seater /Sleeper (2+1),20:10,11h 40m,07:50,4.6,0,31 Seats available
Jammu to Delhi Bus,https://www.redbus.in/bus-tickets/jammu-to-delhi,Laxmi holidays,Volvo 9600 Multi-Axle A/C Sleeper (2+1),20:15,11h 45m,08:00,4.5,0,35 Seats available
Jammu to Delhi Bus,https://www.redbus.in/bus-tickets/jammu-to-delhi,AdLaxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),20:30,11h 45m,08:15,4.3,0,46 Seats available
Jammu to Delhi Bus,https://www.redbus.in/bus-tickets/jammu-to-delhi,IntrCity SmartBus,VE A/C Seater / Sleeper (2+1),20:00,11h 45m,07:45,4.5,532,38 Seats available
Jammu to Delhi Bus,https://www.redbus.in/bus-tickets/jammu-to-delhi,Laxmi holidays,Bharat Benz A/C Sleeper (2+1),21:30,11h 30m,09:00,4.5,0,17 Seats available
Jammu to Delhi Bus,https://www.redbus.in/bus-tickets/jammu-to-delhi,R S YADAV SMART BUS PRIVATE LIMITED,VE A/C Seater / Sleeper (2+1),20:45,12h 00m,08:45,4.6,0,40 Seats available
Jammu to Delhi Bus,https://www.redbus.in/bus-tickets/jammu-to-delhi,AdLavish Travels,A/C Seater / Sleeper (2+2),16:35,12h 55m,05:30,3.5,0,38 Seats available
Jammu to Delhi Bus,https://www.redbus.in/bus-tickets/jammu-to-delhi,Laxmi holidays,Bharat Benz A/C Sleeper (2+1),21:15,11h 15m,08:30,4.4,0,26 Seats available
Jammu to Delhi Bus,https://www.redbus.in/bus-tickets/jammu-to-delhi,Ram Dalal Holidays,A/C Seater/Sleeper (2+1),20:15,11h 15m,07:30,4.5,0,16 Seats available
Delhi to Jammu Bus,https://www.redbus.in/bus-tickets/delhi-to-jammu,Gola Bus Service,A/C Seater/Sleeper (2+1),20:00,13h 00m,09:00,4.8,499,32 Seats available
Delhi to Jammu Bus,https://www.redbus.in/bus-tickets/delhi-to-jammu,Laxmi holidays,Volvo 9600 Multi-Axle A/C Sleeper (2+1),21:30,12h 45m,10:15,4.5,0,37 Seats available
Delhi to Jammu Bus,https://www.redbus.in/bus-tickets/delhi-to-jammu,Zingbus Plus,Bharat Benz A/C Seater /Sleeper (2+1),20:25,09h 20m,05:45,4.5,0,19 Seats available
Delhi to Jammu Bus,https://www.redbus.in/bus-tickets/delhi-to-jammu,AdIndia Tours & Travels (GetBookCab),A/C Semi Sleeper / Sleeper (2+2),21:45,12h 30m,10:15,4.2,650,29 Seats available
Delhi to Jammu Bus,https://www.redbus.in/bus-tickets/delhi-to-jammu,IntrCity SmartBus,VE A/C Seater / Sleeper (2+1),18:30,13h 45m,08:15,4.5,868,22 Seats available
Delhi to Jammu Bus,https://www.redbus.in/bus-tickets/delhi-to-jammu,Yolo Bus,A/C Seater/Sleeper (2+1),19:15,12h 15m,07:30,4.6,499,20 Seats available
Delhi to Jammu Bus,https://www.redbus.in/bus-tickets/delhi-to-jammu,Laxmi holidays,Volvo 9600 Multi-Axle A/C Sleeper (2+1),18:30,12h 30m,07:00,4.4,0,29 Seats available
Delhi to Jammu Bus,https://www.redbus.in/bus-tickets/delhi-to-jammu,AdLaxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),21:00,13h 00m,10:00,4.1,0,42 Seats available
Delhi to Jammu Bus,https://www.redbus.in/bus-tickets/delhi-to-jammu,Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),17:00,13h 00m,06:00,4.3,0,29 Seats available
Delhi to Jammu Bus,https://www.redbus.in/bus-tickets/delhi-to-jammu,Ram Dalal Holidays,A/C Seater/Sleeper (2+1),18:30,11h 55m,06:25,4.5,0,24 Seats available
Katra (jammu and kashmir) to Jammu Bus,https://www.redbus.in/bus-tickets/katra-to-jammu,Shiv Mohan Travels,AC Sleeper (2+1),18:30,01h 15m,19:45,4.3,0,No seats available
Katra (jammu and kashmir) to Jammu Bus,https://www.redbus.in/bus-tickets/katra-to-jammu,Zingbus Plus,Bharat Benz A/C Seater /Sleeper (2+1),18:45,01h 25m,20:10,4.3,103,No seats available
Katra (jammu and kashmir) to Jammu Bus,https://www.redbus.in/bus-tickets/katra-to-jammu,Lavish Travels,A/C Seater / Sleeper (2+2),14:40,13h 55m,04:35,3.6,0,40 Seats available
Katra (jammu and kashmir) to Jammu Bus,https://www.redbus.in/bus-tickets/katra-to-jammu,City Land Travels,A/C Seater/Sleeper (2+1),16:30,01h 20m,17:50,3.6,0,No seats available
Katra (jammu and kashmir) to Jammu Bus,https://www.redbus.in/bus-tickets/katra-to-jammu,FlixBus,A/C Sleeper (2+1),18:30,01h 25m,19:55,3.9,99,No seats available
Katra (jammu and kashmir) to Jammu Bus,https://www.redbus.in/bus-tickets/katra-to-jammu,SHRI KRISHNA TRAVELS (JAI SHREE GANESH YATRA CO.),VE A/C Seater / Sleeper (2+1),19:00,01h 00m,20:00,3.7,750,No seats available
Katra (jammu and kashmir) to Jammu Bus,https://www.redbus.in/bus-tickets/katra-to-jammu,City Land Travels,A/C Seater/Sleeper (2+1),19:00,01h 30m,20:30,3.6,0,No seats available
Katra (jammu and kashmir) to Jammu Bus,https://www.redbus.in/bus-tickets/katra-to-jammu,FlixBus,A/C Sleeper (2+1),21:00,01h 25m,22:25,3.9,99,No seats available
Katra (jammu and kashmir) to Jammu Bus,https://www.redbus.in/bus-tickets/katra-to-jammu,Royal Golden,A/C Seater / Sleeper (2+2),13:00,01h 00m,14:00,2.2,0,No seats available
Katra (jammu and kashmir) to Jammu Bus,https://www.redbus.in/bus-tickets/katra-to-jammu,Golden Temple Express Volvo,A/C Seater / Sleeper (2+2),14:20,01h 25m,15:45,1.2,0,No seats available
Jammu to Katra (jammu and kashmir) Bus,https://www.redbus.in/bus-tickets/jammu-to-katra,Golden Temple Express Volvo,A/C Seater / Sleeper (2+2),05:00,01h 00m,06:00,3.8,0,No seats available
Jammu to Katra (jammu and kashmir) Bus,https://www.redbus.in/bus-tickets/jammu-to-katra,Zingbus Plus,Bharat Benz A/C Seater /Sleeper (2+1),05:45,03h 30m,09:15,4.3,0,No seats available
Jammu to Katra (jammu and kashmir) Bus,https://www.redbus.in/bus-tickets/jammu-to-katra,Zingbus Plus,Bharat Benz A/C Seater /Sleeper (2+1),06:00,01h 30m,07:30,4.3,0,No seats available
Jammu to Katra (jammu and kashmir) Bus,https://www.redbus.in/bus-tickets/jammu-to-katra,SHRI KRISHNA TRAVELS (JAI SHREE GANESH YATRA CO.),VE A/C Seater / Sleeper (2+1),07:20,00h 50m,08:10,3.7,675,No seats available
Jammu to Katra (jammu and kashmir) Bus,https://www.redbus.in/bus-tickets/jammu-to-katra,City Land Travels,A/C Seater/Sleeper (2+1),08:00,01h 00m,09:00,3.6,0,No seats available
Jammu to Katra (jammu and kashmir) Bus,https://www.redbus.in/bus-tickets/jammu-to-katra,FlixBus,A/C Sleeper (2+1),08:05,01h 35m,09:40,3.9,99,No seats available
Jammu to Katra (jammu and kashmir) Bus,https://www.redbus.in/bus-tickets/jammu-to-katra,FlixBus,A/C Sleeper (2+1),10:35,01h 35m,12:10,3.9,99,No seats available
Jammu to Katra (jammu and kashmir) Bus,https://www.redbus.in/bus-tickets/jammu-to-katra,Golden Temple Express Volvo,A/C Seater / Sleeper (2+2),20:30,01h 00m,21:30,3.8,0,No seats available
Jammu to Katra (jammu and kashmir) Bus,https://www.redbus.in/bus-tickets/jammu-to-katra,Golden Temple Express Volvo,A/C Seater / Sleeper (2+2),21:10,01h 00m,22:10,3.8,0,No seats available
Jammu to Katra (jammu and kashmir) Bus,https://www.redbus.in/bus-tickets/jammu-to-katra,Royal Golden,A/C Seater / Sleeper (2+2),01:15,04h 00m,05:15,2.2,0,No seats available
Haridwar to Jammu Bus,https://www.redbus.in/bus-tickets/haridwar-to-jammu,City Land Travels,A/C Seater/Sleeper (2+1),17:31,14h 29m,08:00,4.1,0,24 Seats available
Haridwar to Jammu Bus,https://www.redbus.in/bus-tickets/haridwar-to-jammu,SHRI KRISHNA TRAVELS (JAI SHREE GANESH YATRA CO.),VE A/C Seater / Sleeper (2+1),18:20,12h 40m,07:00,3.8,3000,30 Seats available
Haridwar to Jammu Bus,https://www.redbus.in/bus-tickets/haridwar-to-jammu,New Pal Travels,A/C Sleeper (2+2),19:00,12h 30m,07:30,3.5,0,44 Seats available
Haridwar to Jammu Bus,https://www.redbus.in/bus-tickets/haridwar-to-jammu,Zimindara Travels,AC Sleeper (2+1),17:10,12h 50m,06:00,3.5,1199,8 Seats available
Haridwar to Jammu Bus,https://www.redbus.in/bus-tickets/haridwar-to-jammu,City Land Travels,A/C Seater/Sleeper (2+1),17:40,12h 00m,05:40,4.1,0,26 Seats available
Chandigarh to Jammu Bus,https://www.redbus.in/bus-tickets/chandigarh-to-jammu,Chandigarh Transport Undertaking (CTU) - 165940,HVAC Seater (2+3),15:40,09h 25m,01:05,4.2,554.29,47 Seats available
Chandigarh to Jammu Bus,https://www.redbus.in/bus-tickets/chandigarh-to-jammu,Moon Light Travels Katra,A/C Sleeper (2+1),21:15,07h 15m,04:30,4.4,0,22 Seats available
Chandigarh to Jammu Bus,https://www.redbus.in/bus-tickets/chandigarh-to-jammu,Laxmi holidays,Volvo 9600 Multi-Axle A/C Sleeper (2+1),23:50,07h 10m,07:00,4.4,0,30 Seats available
Chandigarh to Jammu Bus,https://www.redbus.in/bus-tickets/chandigarh-to-jammu,AdOrbit Aviation Pvt. Ltd.,Mercedes A/C Semi Sleeper (2+2),13:30,06h 10m,19:40,3.7,0,No seats available
Chandigarh to Jammu Bus,https://www.redbus.in/bus-tickets/chandigarh-to-jammu,Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),23:05,06h 55m,06:00,4.3,0,29 Seats available
Chandigarh to Jammu Bus,https://www.redbus.in/bus-tickets/chandigarh-to-jammu,Zimindara Travels,A/C Seater / Sleeper (2+1),22:30,07h 00m,05:30,4.2,499,16 Seats available
Chandigarh to Jammu Bus,https://www.redbus.in/bus-tickets/chandigarh-to-jammu,Laxmi holidays,Bharat Benz A/C Sleeper (2+1),03:45,07h 45m,11:30,4.4,0,No seats available
Chandigarh to Jammu Bus,https://www.redbus.in/bus-tickets/chandigarh-to-jammu,AdMoon Light Travels Katra,A/C Seater / Sleeper (2+2),22:00,06h 45m,04:45,3.4,0,40 Seats available
Chandigarh to Jammu Bus,https://www.redbus.in/bus-tickets/chandigarh-to-jammu,Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),22:50,07h 10m,06:00,4.3,0,31 Seats available
Chandigarh to Jammu Bus,https://www.redbus.in/bus-tickets/chandigarh-to-jammu,Jamna Travels-Jammu,AshokLeyland Stile A/C,20:15,08h 15m,04:30,3.9,0,28 Seats available
Jammu to Kishtwar Bus,https://www.redbus.in/bus-tickets/jammu-to-kishtwar,Manpreet Travels,NON A/C Seater (2+2),04:00,08h 30m,12:30,1.4,400,No seats available
Jammu to Kishtwar Bus,https://www.redbus.in/bus-tickets/jammu-to-kishtwar,Manpreet Travels,NON A/C Seater (2+2),08:30,07h 30m,16:00,1.4,400,No seats available
Jammu to Kishtwar Bus,https://www.redbus.in/bus-tickets/jammu-to-kishtwar,Manpreet Travels,NON A/C Seater (2+2),08:00,07h 30m,15:30,1.4,400,No seats available
Jammu to Kishtwar Bus,https://www.redbus.in/bus-tickets/jammu-to-kishtwar,Manpreet Travels,NON A/C Seater (2+2),05:40,07h 50m,13:30,1.4,400,No seats available
Jammu to Kishtwar Bus,https://www.redbus.in/bus-tickets/jammu-to-kishtwar,Manpreet Travels,NON A/C Seater (2+2),07:00,07h 30m,14:30,1.4,400,No seats available
Jammu to Amritsar Bus,https://www.redbus.in/bus-tickets/jammu-to-amritsar,Golden Temple Express Volvo,A/C Seater / Sleeper (2+2),00:20,05h 50m,06:10,3.2,0,No seats available
Jammu to Amritsar Bus,https://www.redbus.in/bus-tickets/jammu-to-amritsar,Bhawani Travels,A/C Seater / Sleeper (2+2),00:20,06h 00m,06:20,3.8,299,No seats available
Jammu to Amritsar Bus,https://www.redbus.in/bus-tickets/jammu-to-amritsar,Bhawani Travels,A/C Seater / Sleeper (2+2),01:00,04h 30m,05:30,3.9,299,No seats available
Jammu to Amritsar Bus,https://www.redbus.in/bus-tickets/jammu-to-amritsar,AdAwadh Travels,A/C Sleeper (2+2),23:35,04h 45m,04:20,3.6,0,40 Seats available
Jammu to Amritsar Bus,https://www.redbus.in/bus-tickets/jammu-to-amritsar,Bhawani Travels,Bharat Benz A/C Seater (2+2),05:30,04h 00m,09:30,4.0,0,No seats available
