Route_name,Route_link,Busname,Bustype,Depature_time,Duration,Reaching_time,Star_rating,Price,Seat_availabilty
Pune to Goa Bus,https://www.redbus.in/bus-tickets/pune-to-goa,Atmaram Gobus,VE A/C Sleeper (2+1),22:30,10h 15m,08:45,4.7,699,3 Seats available
Pune to Goa Bus,https://www.redbus.in/bus-tickets/pune-to-goa,Atmaram Gobus,VE A/C Sleeper (2+1),21:00,10h 30m,07:30,4.5,699,9 Seats available
Pune to Goa Bus,https://www.redbus.in/bus-tickets/pune-to-goa,Ashray Vip Yellows,A/C Sleeper (2+1),20:30,11h 30m,08:00,4.5,0,4 Seats available
Pune to Goa Bus,https://www.redbus.in/bus-tickets/pune-to-goa,Ashray Amrutyog,A/C Sleeper (2+1),22:00,11h 30m,09:30,4.5,0,7 Seats available
Pune to Goa Bus,https://www.redbus.in/bus-tickets/pune-to-goa,Ashray Travels,Bharat Benz A/C Sleeper (2+1),21:00,11h 30m,08:30,4.5,0,15 Seats available
Pune to Goa Bus,https://www.redbus.in/bus-tickets/pune-to-goa,Zingbus Plus,Bharat Benz A/C Sleeper (2+1),21:45,10h 50m,08:35,4.5,0,21 Seats available
Pune to Goa Bus,https://www.redbus.in/bus-tickets/pune-to-goa,Ashray Travels,Non A/C Seater / Sleeper (2+1),21:15,10h 30m,07:45,4.5,500,19 Seats available
Pune to Goa Bus,https://www.redbus.in/bus-tickets/pune-to-goa,Atmaram Gobus,NON A/C Sleeper (2+1),20:30,10h 30m,07:00,4.3,600,5 Seats available
Pune to Goa Bus,https://www.redbus.in/bus-tickets/pune-to-goa,Ashray Divine,NON A/C Sleeper (1+2),20:15,10h 30m,06:45,4.1,0,1 Seat available
Pune to Goa Bus,https://www.redbus.in/bus-tickets/pune-to-goa,IntrCity SmartBus,AC Sleeper (2+1),21:00,10h 40m,07:40,4.1,503,9 Seats available
Goa to Pune Bus,https://www.redbus.in/bus-tickets/goa-to-pune,Atmaram Gobus,VE A/C Sleeper (2+1),21:15,11h 55m,09:10,4.8,505,12 Seats available
Goa to Pune Bus,https://www.redbus.in/bus-tickets/goa-to-pune,Atmaram Gobus,VE A/C Sleeper (2+1),20:17,10h 05m,06:22,4.7,501,20 Seats available
Goa to Pune Bus,https://www.redbus.in/bus-tickets/goa-to-pune,Zingbus Plus,Bharat Benz A/C Sleeper (2+1),21:05,13h 25m,10:30,4.4,0,24 Seats available
Goa to Pune Bus,https://www.redbus.in/bus-tickets/goa-to-pune,AdShreyash Travels,Bharat Benz A/C Sleeper (2+1),21:00,09h 00m,06:00,3.8,0,17 Seats available
