Route_name,Route_link,Busname,Bustype,Depature_time,Duration,Reaching_time,Star_rating,Price,Seat_availabilty
Guwahati to Shillong Bus,https://www.redbus.in/bus-tickets/guwahati-to-shillong,Meghalaya Transport Corporation(MTC) - 169752,Force Motors Non A/C Seater Executive (2+2),14:00,03h 00m,17:00,3.7,200,23 Seats available
Guwahati to Shillong Bus,https://www.redbus.in/bus-tickets/guwahati-to-shillong,NETWORK TRAVELS,Bharat Benz A/C Sleeper (2+1),05:10,02h 30m,07:40,3.7,400,18 Seats available
Shillong to Tura (Meghalaya) Bus,https://www.redbus.in/bus-tickets/shillong-to-tura-meghalaya,Meghalaya Transport Corporation(MTC) - 163306,Tata Non A/C Seater Executive Luxury (2+2),17:00,10h 30m,03:30,3.4,517,No seats available
Shillong to Tura (Meghalaya) Bus,https://www.redbus.in/bus-tickets/shillong-to-tura-meghalaya,NETWORK TRAVELS,NON A/C Seater (2+2),17:00,13h 30m,06:30,4.2,0,No seats available
Shillong to Guwahati Bus,https://www.redbus.in/bus-tickets/shillong-to-guwahati,Meghalaya Transport Corporation(MTC) - 169753,Force Motors Non A/C Seater Executive (2+2),07:00,02h 30m,09:30,3.7,200,18 Seats available
Shillong to Guwahati Bus,https://www.redbus.in/bus-tickets/shillong-to-guwahati,Meghalaya Transport Corporation(MTC) - 172215,Force Motors Non A/C Seater Executive (2+2),15:00,03h 00m,18:00,4.0,200,4 Seats available
Shillong to Guwahati Bus,https://www.redbus.in/bus-tickets/shillong-to-guwahati,Upasana Travels (Under ASTC),Non AC Seater (2+2),07:00,04h 00m,11:00,3.4,325,35 Seats available
Shillong to Guwahati Bus,https://www.redbus.in/bus-tickets/shillong-to-guwahati,RAYAN TRAVELS,Non A/C Seater / Sleeper (2+1),16:00,02h 30m,18:30,3.8,350,35 Seats available
Tura (Meghalaya) to Shillong Bus,https://www.redbus.in/bus-tickets/tura-meghalaya-to-shillong,Meghalaya Transport Corporation(MTC) - 163370,Tata Non A/C Seater Executive Luxury (2+2),18:30,09h 30m,04:00,3.6,517,No seats available
Tura (Meghalaya) to Shillong Bus,https://www.redbus.in/bus-tickets/tura-meghalaya-to-shillong,NETWORK TRAVELS,NON A/C Seater (2+2),19:00,13h 00m,08:00,3.4,0,No seats available
Shillong to Silchar Bus,https://www.redbus.in/bus-tickets/shillong-to-silchar,Meghalaya Transport Corporation(MTC) - 163308,Tata Non A/C Seater Executive Luxury (2+2),19:15,09h 45m,05:00,3.0,384,No seats available
Shillong to Silchar Bus,https://www.redbus.in/bus-tickets/shillong-to-silchar,Jagannath Travels and Tours Pvt. Ltd.,NON A/C Seater Push Back (2+1),09:00,08h 30m,17:30,2.0,700,23 Seats available
Shillong to Silchar Bus,https://www.redbus.in/bus-tickets/shillong-to-silchar,SEEMA TRAVELS,NON AC Seater / Sleeper 2+1,20:30,08h 30m,05:00,2.2,650,No seats available
