Route_name,Route_link,Busname,Bustype,Depature_time,Duration,Reaching_time,Star_rating,Price,Seat_availabilty
Gangtok to Siliguri Bus,https://www.redbus.in/bus-tickets/gangtok-to-siliguri,Sikkim Nationalised Transport (SNT) - 170700,NON A/C Seater (2+2),06:00,05h 30m,11:30,4.3,500,27 Seats available
Gangtok to Siliguri Bus,https://www.redbus.in/bus-tickets/gangtok-to-siliguri,Sikkim Nationalised Transport (SNT) - 174074,Non AC Seater (2+2),07:00,05h 00m,12:00,3.9,500,20 Seats available
Gangtok to Siliguri Bus,https://www.redbus.in/bus-tickets/gangtok-to-siliguri,Sikkim Nationalised Transport (SNT) - 171221,A/C Seater (2+1),08:00,05h 00m,13:00,2.8,910,11 Seats available
Gangtok to Siliguri Bus,https://www.redbus.in/bus-tickets/gangtok-to-siliguri,Sikkim Nationalised Transport (SNT) - 170852,NON A/C Seater (2+2),09:00,05h 00m,14:00,3.2,500,27 Seats available
Gangtok to Siliguri Bus,https://www.redbus.in/bus-tickets/gangtok-to-siliguri,Sikkim Nationalised Transport (SNT) - 174026,A/C Seater Classic (2+2),10:30,05h 10m,15:40,3.7,910,22 Seats available
Gangtok to Siliguri Bus,https://www.redbus.in/bus-tickets/gangtok-to-siliguri,APSARA BUS SERVICE,Non AC Seater (2+2),08:40,04h 35m,13:15,1.1,500,27 Seats available
Gangtok to Siliguri Bus,https://www.redbus.in/bus-tickets/gangtok-to-siliguri,APSARA BUS SERVICE,Non AC Seater (2+2),09:00,03h 55m,12:55,1.1,500,27 Seats available
Gangtok to Siliguri Bus,https://www.redbus.in/bus-tickets/gangtok-to-siliguri,APSARA BUS SERVICE,Non AC Seater (2+2),10:50,04h 30m,15:20,1.4,500,28 Seats available
Gangtok to Siliguri Bus,https://www.redbus.in/bus-tickets/gangtok-to-siliguri,APSARA BUS SERVICE,Non AC Seater (2+2),12:30,04h 30m,17:00,1.1,500,28 Seats available
Gangtok to Siliguri Bus,https://www.redbus.in/bus-tickets/gangtok-to-siliguri,APSARA BUS SERVICE,Non AC Seater (2+2),14:00,04h 35m,18:35,1.1,500,28 Seats available
Gangtok to Siliguri Bus,https://www.redbus.in/bus-tickets/gangtok-to-siliguri,APSARA BUS SERVICE,Non AC Seater (2+2),15:30,04h 05m,19:35,1.1,500,27 Seats available
Siliguri to Gangtok Bus,https://www.redbus.in/bus-tickets/siliguri-to-gangtok,Sikkim Nationalised Transport (SNT) - 174306,NON A/C Seater (2+2),08:00,08h 00m,16:00,3.8,500,19 Seats available
Siliguri to Gangtok Bus,https://www.redbus.in/bus-tickets/siliguri-to-gangtok,Sikkim Nationalised Transport (SNT) - 174314,A/C Seater (2+1),09:30,08h 00m,17:30,3.9,910,18 Seats available
Siliguri to Gangtok Bus,https://www.redbus.in/bus-tickets/siliguri-to-gangtok,Sikkim Nationalised Transport (SNT) - 174307,A/C Seater (2+1),10:30,08h 00m,18:30,4.2,910,16 Seats available
Siliguri to Gangtok Bus,https://www.redbus.in/bus-tickets/siliguri-to-gangtok,Sikkim Nationalised Transport (SNT) - 174313,NON A/C Seater (2+2),11:00,08h 00m,19:00,4.3,500,26 Seats available
Siliguri to Gangtok Bus,https://www.redbus.in/bus-tickets/siliguri-to-gangtok,APSARA BUS SERVICE,Non AC Seater (2+2),14:30,04h 05m,18:35,1.1,500,28 Seats available
Siliguri to Gangtok Bus,https://www.redbus.in/bus-tickets/siliguri-to-gangtok,APSARA BUS SERVICE,Non AC Seater (2+2),09:30,04h 00m,13:30,1.1,500,27 Seats available
Siliguri to Gangtok Bus,https://www.redbus.in/bus-tickets/siliguri-to-gangtok,APSARA BUS SERVICE,Non AC Seater (2+2),05:00,03h 55m,08:55,1.1,500,27 Seats available
Siliguri to Gangtok Bus,https://www.redbus.in/bus-tickets/siliguri-to-gangtok,APSARA BUS SERVICE,Non AC Seater (2+2),11:00,04h 00m,15:00,1.1,500,25 Seats available
Siliguri to Gangtok Bus,https://www.redbus.in/bus-tickets/siliguri-to-gangtok,APSARA BUS SERVICE,Non AC Seater (2+2),08:00,03h 55m,11:55,1.1,500,23 Seats available
Siliguri to Gangtok Bus,https://www.redbus.in/bus-tickets/siliguri-to-gangtok,APSARA BUS SERVICE,Non AC Seater (2+2),06:40,03h 55m,10:35,1.1,500,18 Seats available
Rangpo to Siliguri Bus,https://www.redbus.in/bus-tickets/rangpo-to-siliguri,Sikkim Nationalised Transport (SNT) - 170700,NON A/C Seater (2+2),07:30,04h 00m,11:30,3.1,410,27 Seats available
Rangpo to Siliguri Bus,https://www.redbus.in/bus-tickets/rangpo-to-siliguri,Sikkim Nationalised Transport (SNT) - 174074,Non AC Seater (2+2),08:10,03h 50m,12:00,3.5,410,20 Seats available
Rangpo to Siliguri Bus,https://www.redbus.in/bus-tickets/rangpo-to-siliguri,Sikkim Nationalised Transport (SNT) - 171221,A/C Seater (2+1),08:45,04h 15m,13:00,3.5,750,11 Seats available
Singtham (Sikkim) to Siliguri Bus,https://www.redbus.in/bus-tickets/singtham-sikkim-to-siliguri,Sikkim Nationalised Transport (SNT) - 170700,NON A/C Seater (2+2),07:00,04h 30m,11:30,3.2,430,27 Seats available
Singtham (Sikkim) to Siliguri Bus,https://www.redbus.in/bus-tickets/singtham-sikkim-to-siliguri,Sikkim Nationalised Transport (SNT) - 174074,Non AC Seater (2+2),08:00,04h 00m,12:00,3.4,430,21 Seats available
Singtham (Sikkim) to Siliguri Bus,https://www.redbus.in/bus-tickets/singtham-sikkim-to-siliguri,Sikkim Nationalised Transport (SNT) - 171221,A/C Seater (2+1),08:35,04h 25m,13:00,3.4,800,11 Seats available
